排名,中文标题,外文标题,上映年份,片长,类型,IMDb,详情链接
202,荒蛮故事,/ Relatos salvajes,2025,122分钟,剧情 / 喜剧 / 犯罪,tt3011894,https://movie.douban.com/subject/24750126/
203,大佛普拉斯,/ The Great Buddha+,2017,102分钟,剧情 / 喜剧,tt7010412,https://movie.douban.com/subject/27059130/
204,源代码,/ Source Code,2011,93分钟,科幻 / 悬疑 / 惊悚,tt0945513,https://movie.douban.com/subject/3075287/
205,花束般的恋爱,/ 花束みたいな恋をした,2022,124分钟,剧情 / 爱情,tt11219254,https://movie.douban.com/subject/34874432/
206,白日梦想家,/ The Secret Life of Walter Mitty,2013,114分钟,剧情 / 喜剧 / 冒险,tt0359950,https://movie.douban.com/subject/2133323/
207,爱乐之城,/ La La Land,2017,128分钟,剧情 / 爱情 / 歌舞,tt3783958,https://movie.douban.com/subject/25934014/
208,疯狂的麦克斯4：狂暴之路,/ Mad Max: Fury Road,2015,120分钟,动作 / 科幻 / 冒险,tt1392190,https://movie.douban.com/subject/3592854/
209,可可西里,/ Kekexili: Mountain Patrol,2004,85分钟,剧情 / 犯罪,tt0386651,https://movie.douban.com/subject/1308857/
210,你看起来好像很好吃,/ おまえうまそうだな,2010,90分钟,剧情 / 动画 / 儿童,tt1734113,https://movie.douban.com/subject/4848115/
211,贫民窟的百万富翁,/ Slumdog Millionaire,2009,120分钟,剧情 / 爱情,tt1010048,https://movie.douban.com/subject/2209573/
212,波西米亚狂想曲,/ Bohemian Rhapsody,2019,135分钟,剧情 / 同性 / 音乐 / 传记,tt1727824,https://movie.douban.com/subject/5300054/
213,城市之光,/ City Lights,1931,87分钟,剧情 / 喜剧 / 爱情,tt0021749,https://movie.douban.com/subject/1293908/
214,爆裂鼓手,/ Whiplash,2024,107分钟,剧情 / 音乐,tt2582802,https://movie.douban.com/subject/25773932/
215,青蛇,/ Green Snake,2025,99分钟,剧情 / 爱情 / 奇幻 / 古装,tt0106559,https://movie.douban.com/subject/1303394/
216,哈利·波特与死亡圣器(上),/ Harry Potter and the Deathly Hallows: Part 1,2010,146分钟,奇幻 / 冒险,tt0926084,https://movie.douban.com/subject/2051007/
217,无耻混蛋,/ Inglourious Basterds,2009,153分钟,剧情 / 犯罪,tt0361748,https://movie.douban.com/subject/1438652/
218,东邪西毒,/ 東邪西毒,1994,98分钟,剧情 / 动作 / 爱情 / 武侠 / 古装,tt0109688,https://movie.douban.com/subject/1292328/
219,大红灯笼高高挂,/ Raise The Red Lantern  /  Épouses et concubines,1991,125分钟,剧情,tt0101640,https://movie.douban.com/subject/1293323/
220,终结者2：审判日,/ Terminator 2: Judgment Day,1991,137分钟,动作 / 科幻,tt0103064,https://movie.douban.com/subject/1291844/
221,黑天鹅,/ Black Swan,2010,108分钟,剧情 / 惊悚,tt0947798,https://movie.douban.com/subject/1978709/
222,新龙门客栈,/ 新龍門客棧,2012,103分钟,动作 / 爱情 / 武侠 / 古装,tt0105859,https://movie.douban.com/subject/1292287/
223,初恋这件小事,/ สิ่งเล็กเล็กที่เรียกว่า...รัก,2012,118分钟,剧情 / 喜剧 / 爱情,tt1859438,https://movie.douban.com/subject/4739952/
224,千钧一发,/ Gattaca,1997,106分钟,剧情 / 科幻 / 惊悚,tt0119177,https://movie.douban.com/subject/1300117/
225,人工智能,/ A.I. Artificial Intelligence,2001,146分钟,剧情 / 科幻,tt0212720,https://movie.douban.com/subject/1302827/
226,崖上的波妞,/ 崖の上のポニョ,2020,101分钟,动画 / 奇幻 / 冒险,tt0876563,https://movie.douban.com/subject/1959877/
227,雨人,/ Rain Man,1988,133分钟,剧情,tt0095953,https://movie.douban.com/subject/1291870/
228,虎口脱险,/ La grande vadrouille,1966,119分钟,喜剧 / 战争,tt0060474,https://movie.douban.com/subject/1296909/
229,哈利·波特与凤凰社,/ Harry Potter and the Order of the Phoenix,2007,138分钟,奇幻 / 冒险,tt0373889,https://movie.douban.com/subject/1457217/
230,彗星来的那一夜,/ Coherence,2013,89分钟,科幻 / 悬疑 / 惊悚,tt2866360,https://movie.douban.com/subject/25807345/
231,罗生门,/ 羅生門,1950,88分钟,剧情 / 悬疑 / 犯罪,tt0042876,https://movie.douban.com/subject/1291879/
232,海边的曼彻斯特,/ Manchester by the Sea,2017,137分钟,剧情 / 家庭,tt4034228,https://movie.douban.com/subject/25980443/
233,恋恋笔记本,/ The Notebook,2004,123分钟,剧情 / 爱情,tt0332280,https://movie.douban.com/subject/1309163/
234,火星救援,/ The Martian,2015,142分钟,剧情 / 科幻 / 冒险,tt3659388,https://movie.douban.com/subject/25864085/
235,真爱至上,/ Love Actually,2003,135分钟,剧情 / 喜剧 / 爱情,tt0314331,https://movie.douban.com/subject/1292401/
236,黑客帝国2：重装上阵,/ The Matrix Reloaded,2003,138分钟,动作 / 科幻,tt0234215,https://movie.douban.com/subject/1304141/
237,冰雪奇缘,/ Frozen,2014,102分钟,喜剧 / 动画 / 歌舞 / 奇幻,tt2294629,https://movie.douban.com/subject/4202982/
238,步履不停,/ 歩いても 歩いても,2008,115分钟,剧情 / 家庭,tt1087578,https://movie.douban.com/subject/2222996/
239,奇迹男孩,/ Wonder,2018,113分钟,剧情 / 家庭 / 儿童,tt2543472,https://movie.douban.com/subject/26787574/
240,千年女优,/ 千年女優,2001,87分钟,剧情 / 爱情 / 动画,tt0291350,https://movie.douban.com/subject/1307394/
241,谍影重重2,/ The Bourne Supremacy,2004,108分钟,动作 / 悬疑 / 惊悚,tt0372183,https://movie.douban.com/subject/1308767/
242,战争之王,/ Lord of War,2005,122分钟,剧情 / 犯罪,tt0399295,https://movie.douban.com/subject/1419936/
243,蜘蛛侠：平行宇宙,/ Spider-Man: Into the Spider-Verse,2018,116分钟,动作 / 科幻 / 动画 / 冒险,tt4633694,https://movie.douban.com/subject/26374197/
244,攻壳机动队,/ 攻殻機動隊,2025,83分钟,动作 / 科幻 / 动画,tt0113568,https://movie.douban.com/subject/1291936/
245,血钻,/ Blood Diamond,2006,143分钟,剧情 / 惊悚 / 冒险,tt0450259,https://movie.douban.com/subject/1428175/
246,小姐,/ 아가씨,2016,145分钟,剧情 / 悬疑 / 情色 / 同性,tt4016934,https://movie.douban.com/subject/25977027/
247,隐藏人物,/ Hidden Figures,2016,127分钟,剧情 / 传记 / 历史,tt4846340,https://movie.douban.com/subject/26615208/
248,血观音,/ 血觀音,2017,112分钟,剧情 / 悬疑,tt7479784,https://movie.douban.com/subject/27113517/
249,魂断蓝桥,/ Waterloo Bridge,1940,108分钟,剧情 / 爱情 / 战争,tt0033238,https://movie.douban.com/subject/1293964/
250,房间,/ Room,2015,118分钟,剧情 / 家庭,tt3170832,https://movie.douban.com/subject/25724855/
